Tarih,Gun,Ay,Yil,GramAlis,GramSatis,CeyrekAlis,CeyrekSatis,CumhuriyetAlis,CumhuriyetSatis,YarimAlis,YarimSatis,TamAlis,TamSatis,Bilezik22Alis,Bilezik22Satis,Ayar14Alis,Ayar14Satis,Ayar18Alis,Ayar18Satis,ResatAlis,ResatSatis,GremseAlis,GremseSatis,HamitAlis,HamitSatis
1.1.2005,1,1,2005,19.1340,20.5000,30.5375,35.0000,125.6400,142.0000,61.0750,70.0000,122.1500,140.0000,17.4500,20.2500,10.9062,15.2500,13.5850,18.2500,125.6400,142.0000,305.3750,350.0000,125.6400,142.0000
2.1.2005,2,1,2005,19.1340,20.5000,30.5375,35.0000,125.6400,142.0000,61.0750,70.0000,122.1500,140.0000,17.4500,20.2500,10.9062,15.2500,13.5850,18.2500,125.6400,142.0000,305.3750,350.0000,125.6400,142.0000
3.1.2005,3,1,2005,19.0000,19.5900,30.3275,33.2500,123.3100,135.0000,60.6550,66.5000,121.3100,133.0000,17.3300,19.2500,10.8313,14.2500,13.4916,17.2500,122.3100,145.0000,303.2750,332.5000,122.3100,140.0000
4.1.2005,4,1,2005,19.0000,19.5900,30.3275,32.7500,124.8000,133.0000,60.6550,65.5000,121.3100,131.0000,17.3300,19.0000,10.8313,14.0000,13.4916,17.0000,123.8000,143.0000,303.2750,327.5000,123.8000,138.0000
5.1.2005,5,1,2005,19.0000,19.5900,30.3275,33.2500,124.8000,135.0000,60.6550,66.5000,121.3100,133.0000,17.3300,19.2500,10.8313,14.2500,13.4916,17.2500,123.8000,145.0000,303.2750,332.5000,123.8000,140.0000
6.1.2005,6,1,2005,19.0240,19.7400,30.3625,33.7500,125.0000,137.0000,60.7250,67.5000,121.4500,135.0000,17.3500,19.5000,10.8438,14.5000,13.5071,17.5000,124.0000,147.0000,303.6250,337.5000,124.0000,142.0000
7.1.2005,7,1,2005,18.7500,19.3800,29.9250,33.2500,123.1200,135.0000,59.8500,66.5000,119.7000,133.0000,17.1000,19.2500,10.6875,14.2500,13.3125,17.2500,122.1200,145.0000,299.2500,332.5000,122.1200,140.0000
8.1.2005,8,1,2005,18.6890,19.3800,29.9775,33.2500,123.5000,135.0000,59.9550,66.5000,119.9100,135.0000,17.1300,19.2500,10.7063,14.2500,13.3359,17.2500,122.5000,145.0000,306.9000,332.5000,122.5000,140.0000
9.1.2005,9,1,2005,18.6890,19.3800,29.9775,33.2500,123.5000,135.0000,59.9550,66.5000,119.9100,135.0000,17.1300,19.2500,10.7063,14.2500,13.3359,17.2500,122.5000,145.0000,306.9000,332.5000,122.5000,140.0000
10.1.2005,10,1,2005,18.7500,19.3800,29.9250,33.2500,123.1500,135.0000,59.8500,66.5000,119.7000,135.0000,17.1000,19.2500,10.6875,14.2500,13.3125,17.2500,122.1500,145.0000,299.2500,332.5000,122.1500,140.0000
11.1.2005,11,1,2005,18.7500,19.8590,29.9250,33.2500,123.1500,135.0000,59.8500,66.5000,119.7000,135.0000,17.1000,19.2500,10.6875,14.2500,13.3125,17.2500,122.1500,145.0000,299.2500,332.5000,122.1500,140.0000
12.1.2005,12,1,2005,18.7200,19.3500,29.8900,33.2500,123.0000,135.0000,59.7800,66.5000,119.5600,135.0000,17.0800,19.2500,10.6750,14.2500,13.2969,17.2500,122.0000,145.0000,298.9000,332.5000,122.0000,140.0000
13.1.2005,13,1,2005,18.4649,19.1000,29.5050,33.0000,121.4000,134.0000,59.0100,66.0000,118.0200,132.0000,16.8600,19.0000,10.5375,14.0000,13.1257,17.0000,120.4000,144.0000,295.0500,330.0000,120.4000,139.0000
14.1.2005,14,1,2005,18.3770,19.0000,29.3300,32.7500,120.7000,133.0000,58.6600,65.5000,117.3200,131.0000,16.7600,18.7500,10.4750,13.7500,13.4780,16.7500,119.7000,143.0000,293.3000,327.5000,119.7000,138.0000
15.1.2005,15,1,2005,18.4300,19.0400,29.4175,32.7500,121.0000,133.0000,58.8350,65.5000,117.6700,131.0000,16.8100,18.7500,10.4875,13.7500,13.0634,16.7500,120.0000,143.0000,294.1750,327.5000,120.0000,138.0000
16.1.2005,16,1,2005,18.4300,19.0400,29.4175,32.7500,121.0000,133.0000,58.8350,65.5000,117.6700,131.0000,16.8100,18.7500,10.4875,13.7500,13.0634,16.7500,120.0000,143.0000,294.1750,327.5000,120.0000,138.0000
17.1.2005,17,1,2005,18.2010,18.8440,29.0500,32.5000,119.5200,132.0000,58.1000,65.0000,116.2000,130.0000,16.6000,18.5000,10.3750,13.5000,12.9232,16.5000,118.5200,142.0000,290.5000,325.0000,118.5200,137.0000
18.1.2005,18,1,2005,18.3100,18.9200,29.2250,32.5000,120.2500,132.0000,58.4500,65.0000,116.9000,130.0000,16.7000,18.5000,10.4375,13.5000,13.0000,16.5000,119.2500,142.0000,292.2500,325.0000,119.2500,137.0000
19.1.2005,19,1,2005,18.4500,19.0000,29.4525,32.5000,121.2000,132.0000,58.9050,65.0000,117.8100,130.0000,16.8300,18.5000,10.5188,13.5000,13.1023,16.5000,120.2000,142.0000,294.5250,325.0000,120.2000,137.0000
20.1.2005,20,1,2005,18.4500,19.0000,29.4525,32.5000,121.2000,132.0000,58.9050,65.0000,117.8100,130.0000,16.8300,18.5000,10.5188,13.5000,13.1023,16.5000,120.2000,142.0000,294.5250,325.0000,120.2000,137.0000
21.1.2005,21,1,2005,18.4500,19.0000,29.4525,32.5000,121.2000,132.0000,58.9050,65.0000,117.8100,130.0000,16.8300,18.5000,10.5188,13.5000,13.1023,16.5000,120.2000,142.0000,294.5250,325.0000,120.2000,137.0000
22.1.2005,22,1,2005,18.4500,19.0000,29.4525,32.5000,121.2000,132.0000,58.9050,65.0000,117.8100,130.0000,16.8300,18.5000,10.5188,13.5000,13.1023,16.5000,120.2000,142.0000,294.5250,325.0000,120.2000,137.0000
